School Name,State Name [Public School] Latest available year,School Name [Public School] 2024-25,Location Address 1 [Public School] 2024-25,Location City [Public School] 2024-25,Location State Abbr [Public School] 2024-25,Location ZIP [Public School] 2024-25,School Type [Public School] 2024-25,School Level (SY 2017-18 onward) [Public School] 2024-25,Lowest Grade Offered [Public School] 2024-25,Highest Grade Offered [Public School] 2024-25,"Total Students, All Grades",Latitude,Longitude
ANIMAS 7-12 SCHOOL,New Mexico,ANIMAS 7-12 SCHOOL,1 PANTHER DR,ANIMAS,NM ,88020,1-Regular school,High,7th Grade,12th Grade,90,31.9498216,-108.80866
ANIMAS ELEMENTARY,New Mexico,ANIMAS ELEMENTARY,1 PANTHER DR,ANIMAS,NM ,88020,1-Regular school,Elementary,Prekindergarten,4th Grade,48,31.9519415,-108.8084623
ANIMAS MIDDLE,New Mexico,ANIMAS MIDDLE,1 PANTHER DR,ANIMAS,NM ,88020,1-Regular school,Middle,5th Grade,6th Grade,27,31.7722576,-108.8055896
ARREY ELEMENTARY,New Mexico,ARREY ELEMENTARY,7 ARREY CEMETERY RD,ARREY,NM ,87930,1-Regular school,Elementary,Prekindergarten,5th Grade,93,32.8481106,-107.3184583
BATAAN ELEMENTARY,New Mexico,BATAAN ELEMENTARY,2200 HWY 418 SW,DEMING,NM ,88030,1-Regular school,Elementary,Prekindergarten,5th Grade,487,32.2481564,-107.7893468
BAYARD ELEMENTARY,New Mexico,BAYARD ELEMENTARY,100 PARK ST,BAYARD,NM ,88023,1-Regular school,Elementary,Prekindergarten,5th Grade,156,32.7568036,-108.1336353
BELL ELEMENTARY,New Mexico,BELL ELEMENTARY,1000 EAST MAPLE,DEMING,NM ,88030,1-Regular school,Elementary,Prekindergarten,5th Grade,301,32.2658932,-107.7477972
CENTRAL ELEMENTARY,New Mexico,CENTRAL ELEMENTARY,211 CEDAR ST,SANTA CLARA,NM ,88026,1-Regular school,Elementary,Prekindergarten,5th Grade,133,32.7753874,-108.1549274
CHAPARRAL ELEMENTARY,New Mexico,CHAPARRAL ELEMENTARY,1400 EAST HOLLY,DEMING,NM ,88030,1-Regular school,Elementary,Prekindergarten,5th Grade,377,32.2513282,-107.7420648
CLIFF ELEMENTARY,New Mexico,CLIFF ELEMENTARY,622 STATE HWY 211,CLIFF,NM ,88028,1-Regular school,Elementary,Prekindergarten,6th Grade,92,32.9667154,-108.6095776
