School Name,State Name [Public School] Latest available year,School Name [Public School] 2024-25,Location Address 1 [Public School] 2024-25,Location City [Public School] 2024-25,Location State Abbr [Public School] 2024-25,Location ZIP [Public School] 2024-25,School Type [Public School] 2024-25,School Level (SY 2017-18 onward) [Public School] 2024-25,Lowest Grade Offered [Public School] 2024-25,Highest Grade Offered [Public School] 2024-25,"Total Students, All Grades",Full Address,Latitude,Longitude
ANIMAS 7-12 SCHOOL,New Mexico,ANIMAS 7-12 SCHOOL,1 PANTHER DR,ANIMAS,NM ,88020,1-Regular school,High,7th Grade,12th Grade,90,"ANIMAS 7-12 SCHOOL, ANIMAS, NM",,
ANIMAS ELEMENTARY,New Mexico,ANIMAS ELEMENTARY,1 PANTHER DR,ANIMAS,NM ,88020,1-Regular school,Elementary,Prekindergarten,4th Grade,48,"ANIMAS ELEMENTARY, ANIMAS, NM",31.9519415,-108.8084623
ANIMAS MIDDLE,New Mexico,ANIMAS MIDDLE,1 PANTHER DR,ANIMAS,NM ,88020,1-Regular school,Middle,5th Grade,6th Grade,27,"ANIMAS MIDDLE, ANIMAS, NM",31.7722576,-108.8055896
ARREY ELEMENTARY,New Mexico,ARREY ELEMENTARY,7 ARREY CEMETERY RD,ARREY,NM ,87930,1-Regular school,Elementary,Prekindergarten,5th Grade,93,"ARREY ELEMENTARY, ARREY, NM",32.8481106,-107.3184583
BATAAN ELEMENTARY,New Mexico,BATAAN ELEMENTARY,2200 HWY 418 SW,DEMING,NM ,88030,1-Regular school,Elementary,Prekindergarten,5th Grade,487,"BATAAN ELEMENTARY, DEMING, NM",32.2481564,-107.7893468
BAYARD ELEMENTARY,New Mexico,BAYARD ELEMENTARY,100 PARK ST,BAYARD,NM ,88023,1-Regular school,Elementary,Prekindergarten,5th Grade,156,"BAYARD ELEMENTARY, BAYARD, NM",32.7568036,-108.1336353
BELL ELEMENTARY,New Mexico,BELL ELEMENTARY,1000 EAST MAPLE,DEMING,NM ,88030,1-Regular school,Elementary,Prekindergarten,5th Grade,301,"BELL ELEMENTARY, DEMING, NM",32.2658932,-107.7477972
CENTRAL ELEMENTARY,New Mexico,CENTRAL ELEMENTARY,211 CEDAR ST,SANTA CLARA,NM ,88026,1-Regular school,Elementary,Prekindergarten,5th Grade,133,"CENTRAL ELEMENTARY, SANTA CLARA, NM",32.7753874,-108.1549274
CHAPARRAL ELEMENTARY,New Mexico,CHAPARRAL ELEMENTARY,1400 EAST HOLLY,DEMING,NM ,88030,1-Regular school,Elementary,Prekindergarten,5th Grade,377,"CHAPARRAL ELEMENTARY, DEMING, NM",32.2513282,-107.7420648
CLIFF ELEMENTARY,New Mexico,CLIFF ELEMENTARY,622 STATE HWY 211,CLIFF,NM ,88028,1-Regular school,Elementary,Prekindergarten,6th Grade,92,"CLIFF ELEMENTARY, CLIFF, NM",32.9667154,-108.6095776
CLIFF HIGH,New Mexico,CLIFF HIGH,622 STATE HWY 211,CLIFF,NM ,88028,1-Regular school,High,7th Grade,12th Grade,95,"CLIFF HIGH, CLIFF, NM",32.9663164,-108.6086447
COBRE HIGH,New Mexico,COBRE HIGH,1300 TOM FOY BLVD,BAYARD,NM ,88023,1-Regular school,High,9th Grade,12th Grade,257,"COBRE HIGH, BAYARD, NM",32.7570693,-108.1432997
COLUMBUS ELEMENTARY,New Mexico,COLUMBUS ELEMENTARY,7450 ALTURA RD. SE,COLUMBUS,NM ,88029,1-Regular school,Elementary,Prekindergarten,5th Grade,483,"COLUMBUS ELEMENTARY, COLUMBUS, NM",31.8441007,-107.6649791
DEMING CESAR CHAVEZ,New Mexico,DEMING CESAR CHAVEZ,315 EAST 1ST ST,DEMING,NM ,88030,1-Regular school,High,9th Grade,12th Grade,177,"DEMING CESAR CHAVEZ, DEMING, NM",,
DEMING HIGH,New Mexico,DEMING HIGH,1300 S. IRON ST.,DEMING,NM ,88030,1-Regular school,High,9th Grade,12th Grade,1174,"DEMING HIGH, DEMING, NM",32.2553809,-107.7621591
DEMING INTERMEDIATE,New Mexico,DEMING INTERMEDIATE,1750 PEAR ST. SW,DEMING,NM ,88030,1-Regular school,Middle,6th Grade,6th Grade,373,"DEMING INTERMEDIATE, DEMING, NM",32.2457875,-107.7821771
DUGAN-TARANGO MIDDLE,New Mexico,DUGAN-TARANGO MIDDLE,1352 HARDIN ST,LORDSBURG,NM ,88045,1-Regular school,Middle,5th Grade,8th Grade,124,"DUGAN-TARANGO MIDDLE, LORDSBURG, NM",32.3362722,-108.7083002
EARLY COLLEGE HIGH SCHOOL,NEW MEXICO,EARLY COLLEGE HIGH SCHOOL,720 W BUCKEYE ST,DEMING,NM ,88030,1-Regular school,High,9th Grade,12th Grade,180,"EARLY COLLEGE HIGH SCHOOL, DEMING, NM",32.2740262,-106.7395938
EL RITO ELEMENTARY,New Mexico,EL RITO ELEMENTARY,10 ELEMENTARY RD,EL RITO,NM ,87530,1-Regular school,Elementary,Prekindergarten,3rd Grade,63,"EL RITO ELEMENTARY, EL RITO, NM",36.3309056,-106.1872868
G.W.STOUT ELEMENTARY,New Mexico,G.W.STOUT ELEMENTARY,2601 NORTH SILVER ST,SILVER CITY,NM ,88061,1-Regular school,Elementary,1st Grade,6th Grade,334,"G.W.STOUT ELEMENTARY, SILVER CITY, NM",,
